budget,runtime,genres,production_companies,production_countries,release_year,popularity,vote_count,original_language,cast_count,crew_count,revenue,rating,success_class
123000000,105,"['Family', 'Comedy', 'Fantasy']","['Universal Pictures', 'Imagine Entertainment', 'LUNI Productions']","['US', 'DE']",2000,63.7406,8065,en,52,87,345800000,6.781,Hit
103000000,155,"['Action', 'Drama', 'Adventure']","['Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'DreamWorks Pictures']","['GB', 'US']",2000,17.8549,20334,en,44,211,465516248,8.221,Hit
24000000,108,"['Comedy', 'Crime', 'Thriller', 'Drama', 'Romance']","['IMF', 'Gramercy Pictures', 'Propaganda Films', ""ab'-strakt Pictures"", 'Universal Pictures', 'USA Films', 'Pacifica Film Distribution']","['DE', 'US']",2000,11.7316,421,en,44,108,29364989,6.056,Flop
100000000,103,"['Crime', 'Comedy']","['SKA Films', 'Screen Gems']","['GB', 'US']",2000,12.9088,9641,en,71,153,83557872,7.817,Average
46000000,99,"['Action', 'Adventure', 'Crime', 'Thriller']","['Paramount Pictures', 'Scott Rudin Productions', 'New Deal Productions', 'Shaft Productions', 'Munich Film Partners & Company (MFP) GHS Productions']","['DE', 'US']",2000,10.823,1389,en,99,52,107626125,6.011,Average
100000000,78,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['Walt Disney Feature Animation', 'Walt Disney Pictures']",['US'],2000,11.0339,7109,en,31,69,169327687,7.555,Average
110000000,165,"['Drama', 'History', 'War', 'Action']","['Columbia Pictures', 'Mutual Film Company', 'Centropolis Entertainment', 'Global Medien KG']","['DE', 'US']",2000,11.0655,4158,en,62,409,215294342,7.185,Average
45000000,100,"['Comedy', 'Drama', 'Music', 'Romance']","['Touchstone Pictures', 'Jerry Bruckheimer Films']",['US'],2000,10.0688,2207,en,46,61,113900000,6.266,Average
60000000,125,"['Comedy', 'Drama', 'Romance', 'Fantasy']","['Beacon Pictures', 'Saturn Films', 'Universal Pictures']",['US'],2000,10.5428,2114,en,50,124,124700000,6.812,Average
0,108,['Drama'],"['Medusa Film', 'Miramax', 'Pacific Pictures']","['IT', 'US']",2000,11.0255,2419,it,45,49,14493284,7.429,Flop
90000000,143,"['Adventure', 'Drama']","['20th Century Fox', 'DreamWorks Pictures', 'ImageMovers', 'Playtone']",['US'],2000,11.1514,11957,en,37,174,429632142,7.66,Hit
92000000,98,"['Action', 'Comedy', 'Adventure']","['Columbia Pictures', 'Tall Trees Productions', 'Flower Films', 'Leonard Goldberg Productions']",['US'],2000,10.1651,4386,en,56,111,264105545,5.852,Hit
19000000,88,['Comedy'],"['Brad Grey Pictures', 'Gold/Miller Productions', 'Wayans Bros. Entertainment', 'Dimension Films']",['US'],2000,9.4712,7432,en,61,151,278022760,6.379,Hit
7000000,102,"['Thriller', 'Drama', 'Crime']","['Lionsgate', 'Pressman Film', 'Muse Productions', 'Christian Halsey Solomon Productions']","['CA', 'US']",2000,10.056,11824,en,46,85,34300000,7.407,Flop
10000000,112,"['Horror', 'Drama', 'Thriller', 'Mystery']","['Lakeshore Entertainment', 'Alphaville Films', 'Paramount Classics']",['US'],2000,11.068,1321,en,43,83,12008642,6.464,Flop
3600000,94,"['Crime', 'Drama']","['Franchise Pictures', 'Industry Entertainment Partners', 'Phoenician Entertainment', 'Artists Production Group', 'Phoenician Films']",['US'],2000,9.062,251,en,51,81,43805,6.323,Flop
3000000,99,"['Drama', 'Romance']","['Block 2 Pictures', 'Paradis Films', 'Jet Tone Production']","['HK', 'FR']",2000,9.2034,3105,cn,11,26,15867968,8.1,Flop
9000000,113,"['Mystery', 'Thriller']","['Newmarket Films', 'Summit Entertainment', 'Team Todd', 'I Remember Productions']",['US'],2000,8.4358,15757,en,13,40,40047236,8.178,Flop
17000000,120,"['Adventure', 'Drama', 'Action', 'Romance']","['Sony Pictures Classics', 'Columbia Pictures Film Production Asia', 'Edko Films', 'Zoom Hunt', 'China Film Co-Production Corp.', 'Good Machine']","['HK', 'TW', 'US', 'CN']",2000,7.8771,3449,zh,32,180,213978518,7.431,Average
51000000,117,['Comedy'],"['Conundrum Entertainment', '20th Century Fox']",['US'],2000,9.0522,4100,en,80,153,149270999,6.605,Average
55000000,110,"['Adventure', 'Action', 'Comedy', 'Western']","['Touchstone Pictures', 'Spyglass Entertainment', 'Birnbaum/Barber Productions', 'JCE Movies']","['US', 'HK']",2000,8.7227,2678,en,30,111,99274467,6.414,Average
0,77,"['Crime', 'Drama', 'Thriller']","['Toute Premiere Fois', 'Pan Européenne Productions', 'Canal+']",['FR'],2000,7.7169,472,fr,21,26,940944,4.805,Flop
42000000,104,"['Thriller', 'Action', 'Crime']","['Dimension Films', 'Marty Katz Productions']",['US'],2000,8.4584,707,en,34,51,32168970,5.694,Flop
23000000,98,['Horror'],"['Hard Eight Pictures', 'New Line Cinema', 'Zide-Perry Productions']",['US'],2000,7.6136,6432,en,29,185,112880294,6.627,Average
28000000,99,"['Thriller', 'Horror', 'Action', 'Fantasy']","['Wes Craven Films', 'Dimension Films', 'Neo Art & Logic']",['US'],2000,6.7527,729,en,32,99,47053625,5.236,Average
125000000,123,"['Adventure', 'Action', 'Thriller']","['Paramount Pictures', 'Cruise/Wagner Productions']",['US'],2000,9.2362,7322,en,45,239,546388108,6.136,Hit
45000000,84,"['Animation', 'Comedy', 'Family']","['Aardman', 'DreamWorks Animation', 'Pathé', 'DreamWorks Pictures']","['FR', 'GB', 'US']",2000,6.8157,5273,en,14,212,224834564,6.835,Hit
26000000,107,"['Adventure', 'Comedy', 'Crime']","['Touchstone Pictures', 'Universal Pictures', 'StudioCanal', 'Working Title Films', 'Mike Zoss Productions']","['FR', 'GB', 'US']",2000,6.3052,4429,en,46,225,71877090,7.318,Average
50000000,118,['Comedy'],"['Warner Bros. Pictures', 'Bel Air Entertainment', 'Dylan Sellers Productions']",['US'],2000,6.6857,1037,en,30,27,50054511,6.687,Average
